ㄚ a ar aa ah
ㄙㄡ sou sour soou sow
ㄙㄨ su swu suu suh
ㄙㄨㄢ suan swan soan suann
ㄙㄨㄟ suei swei soei suey
ㄙㄨㄣ suen swen soen suenn
ㄙㄨㄛ suo swo suoo suoh
ㄙ sy syr syy syh
ㄊㄚ ta tar taa tah
ㄊㄞ tai tair tae tay
ㄊㄢ tan tarn taan tann
ㄊㄤ tang tarng taang tanq
ㄊㄠ tau taur tao taw
ㄊㄜ te ter tee teh
ㄊㄥ teng terng teeng tenq
ㄊㄧ ti tyi tii tih
ㄊㄧㄢ tian tyan tean tiann
ㄊㄧㄠ tiau tyau teau tiaw
ㄊㄧㄝ tie tye tiee tieh
ㄊㄧㄥ ting tyng tiing tinq
ㄊㄨㄥ tong torng toong tonq
ㄊㄡ tou tour toou tow
ㄘㄚ tsa tsar tsaa tsah
ㄘㄞ tsai tsair tsae tsay
ㄘㄢ tsan tsarn tsaan tsann
ㄘㄤ tsang tsarng tsaang tsanq
ㄘㄠ tsau tsaur tsao tsaw
ㄘㄜ tse tser tsee tseh
ㄘㄣ tsen tsern tseen tsenn
ㄘㄥ tseng tserng tseeng tsenq
ㄘㄨㄥ tsong tsorng tsoong tsonq
ㄘㄡ tsou tsour tsoou tsow
ㄘㄨ tsu tswu tsuu tsuh
ㄘㄨㄢ tsuan tswan tsoan tsuann
ㄘㄨㄟ tsuei tswei tsoei tsuey
ㄘㄨㄣ tsuen tswen tsoen tsuenn
ㄘㄨㄛ tsuo tswo tsuoo tsuoh
ㄘ tsy tsyr tsyy tsyh
ㄊㄨ tu twu tuu tuh
ㄊㄨㄢ tuan twan toan tuann
ㄊㄨㄟ tuei twei toei tuey
ㄊㄨㄣ tuen twen toen tuenn
ㄊㄨㄛ tuo two tuoo tuoh
ㄗㄚ tza tzar tzaa tzah
ㄗㄞ tzai tzair tzae tzay
ㄗㄢ tzan tzarn tzaan tzann
ㄗㄤ tzang tzarng tzaang tzanq
ㄗㄠ tzau tzaur tzao tzaw
ㄗㄜ tze tzer tzee tzeh
ㄗㄟ tzei tzeir tzeei tzey
ㄗㄣ tzen tzern tzeen tzenn
ㄗㄥ tzeng tzerng tzeeng tzenq
ㄗㄨㄥ tzong tzorng tzoong tzonq
ㄗㄡ tzou tzour tzoou tzow
ㄗㄨ tzu tzwu tzuu tzuh
ㄗㄨㄢ tzuan tzwan tzoan tzuann
ㄗㄨㄟ tzuei tzwei tzoei tzuey
ㄗㄨㄣ tzuen tzwen tzoen tzuenn
ㄗㄨㄛ tzuo tzwo tzuoo tzuoh
ㄗ tzy tzyr tzyy tzyh
ㄨ u wu wuu wuh
ㄨㄚ ua wa woa wah
ㄨㄞ uai wai woai way
ㄨㄢ uan wan woan wann
ㄨㄤ uang wang woang wanq
ㄨㄟ uei wei woei wey
ㄨㄣ uen wen woen wenn
ㄨㄥ ueng weng woeng wenq
ㄨㄛ uo wo woo woh
